,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
29658,3473,KCVS,large_airport,Cannon Air Force Base,34.3828010559,-103.321998596,4295.0,,US,US-NM,Clovis,no,KCVS,CVS,CVS,http://www.cannon.af.mil/,https://en.wikipedia.org/wiki/Cannon_Air_Force_Base,
29710,3478,KDAB,large_airport,Daytona Beach International Airport,29.179899,-81.058098,34.0,,US,US-FL,Daytona Beach,yes,KDAB,DAB,DAB,,https://en.wikipedia.org/wiki/Daytona_Beach_International_Airport,
29713,3479,KDAL,large_airport,Dallas Love Field,32.847099,-96.851799,487.0,,US,US-TX,Dallas,yes,KDAL,DAL,DAL,http://www.dallas-lovefield.com/,https://en.wikipedia.org/wiki/Dallas_Love_Field,QDF
29716,3481,KDAY,large_airport,James M Cox Dayton International Airport,39.90240097045898,-84.21939849853516,1009.0,,US,US-OH,Dayton,yes,KDAY,DAY,DAY,,https://en.wikipedia.org/wiki/Dayton_International_Airport,
29718,3482,KDBQ,large_airport,Dubuque Regional Airport,42.40200043,-90.70950317,1077.0,,US,US-IA,Dubuque,yes,KDBQ,DBQ,DBQ,,https://en.wikipedia.org/wiki/Dubuque_Regional_Airport,
29719,3483,KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15.0,,US,US-DC,Washington,yes,KDCA,DCA,DCA,http://www.flyreagan.com/dca/reagan-national-airport,https://en.wikipedia.org/wiki/Ronald_Reagan_Washington_National_Airport,WAS
29728,3486,KDEN,large_airport,Denver International Airport,39.861698150635,-104.672996521,5431.0,,US,US-CO,Denver,yes,KDEN,DEN,DEN,http://www.flydenver.com/,https://en.wikipedia.org/wiki/Denver_International_Airport,"DVX, KVDX"
29733,3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,607.0,,US,US-TX,Dallas-Fort Worth,yes,KDFW,DFW,DFW,https://www.dfwairport.com/,https://en.wikipedia.org/wiki/Dallas/Fort_Worth_International_Airport,QDF
29745,3490,KDLF,large_airport,Laughlin Air Force Base,29.359501,-100.778002,1082.0,,US,US-TX,Del Rio,no,KDLF,DLF,DLF,http://www.laughlin.af.mil/,https://en.wikipedia.org/wiki/Laughlin_Air_Force_Base,"Laughlin AFB, Laughlin Field, DLF Airport"
29746,3491,KDLH,large_airport,Duluth International Airport,46.8420982361,-92.19360351559999,1428.0,,US,US-MN,Duluth,yes,KDLH,DLH,DLH,http://www.duluthairport.com/,https://en.wikipedia.org/wiki/Duluth_International_Airport,"LKI, Duluth Air National Guard Base, Lakeside AFB"
29760,3494,KDOV,large_airport,Dover Air Force Base,39.12950134,-75.46600342,24.0,,US,US-DE,Dover,no,KDOV,DOV,DOV,http://www.dover.af.mil/,https://en.wikipedia.org/wiki/Dover_Air_Force_Base,"Municipal Airport - Dover Airdrome, Dover Army Airbase, Dover Army Airfield"
29774,3496,KDSM,large_airport,Des Moines International Airport,41.53400039672852,-93.66310119628906,958.0,,US,US-IA,Des Moines,yes,KDSM,DSM,DSM,,https://en.wikipedia.org/wiki/Des_Moines_International_Airport,
29781,3497,KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,645.0,,US,US-MI,Detroit,yes,KDTW,DTW,DTW,http://www.metroairport.com/,https://en.wikipedia.org/wiki/Detroit_Metropolitan_Wayne_County_Airport,"DTT, Detroit Metro Airport"
29806,3499,KDYS,large_airport,Dyess Air Force Base,32.4207992554,-99.85459899899999,1789.0,,US,US-TX,Abilene,no,KDYS,DYS,DYS,http://www.dyess.af.mil/,https://en.wikipedia.org/wiki/Dyess_Air_Force_Base,
30178,3503,KEDW,large_airport,Edwards Air Force Base,34.905398999999996,-117.884003,2312.0,,US,US-CA,Edwards,no,KEDW,EDW,EDW,,https://en.wikipedia.org/wiki/Edwards_Air_Force_Base,
30223,3513,KEND,large_airport,Vance Air Force Base,36.339199066199996,-97.9164962769,1307.0,,US,US-OK,Enid,no,KEND,END,END,http://www.vance.af.mil/,https://en.wikipedia.org/wiki/Vance_Air_Force_Base,
30235,3515,KERI,large_airport,Erie International Tom Ridge Field,42.0831270134,-80.1738667488,732.0,,US,US-PA,Erie,yes,KERI,ERI,ERI,,https://en.wikipedia.org/wiki/Erie_International_Airport,
30260,3521,KEWR,large_airport,Newark Liberty International Airport,40.69250106811523,-74.168701171875,18.0,,US,US-NJ,Newark,yes,KEWR,EWR,EWR,http://www.panynj.gov/CommutingTravel/airports/html/newarkliberty.html,https://en.wikipedia.org/wiki/Newark_Liberty_International_Airport,"Manhattan, New York City, NYC"
30347,3528,KFFO,large_airport,Wright-Patterson Air Force Base,39.8260993958,-84.04830169680001,823.0,,US,US-OH,Dayton,no,KFFO,FFO,FFO,http://www.wpafb.af.mil/,https://en.wikipedia.org/wiki/Wright-Patterson_Air_Force_Base,"Wilbur Wright Field, Fairfield Air Depot"
30364,3531,KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,9.0,,US,US-FL,Fort Lauderdale,yes,KFLL,FLL,FLL,http://www.broward.org/airport,https://en.wikipedia.org/wiki/Fort_Lauderdale–Hollywood_International_Airport,"MFW, South Florida"
30399,3543,KFSM,large_airport,Fort Smith Regional Airport,35.33660125732422,-94.36740112304688,469.0,,US,US-AR,Fort Smith,yes,KFSM,FSM,FSM,,https://en.wikipedia.org/wiki/Fort_Smith_Regional_Airport,
30407,3545,KFTW,large_airport,Fort Worth Meacham International Airport,32.819801,-97.36239599999999,710.0,,US,US-TX,Fort Worth,no,KFTW,FTW,FTW,http://meacham.com/,https://en.wikipedia.org/wiki/Fort_Worth_Meacham_International_Airport,
30412,3547,KFWA,large_airport,Fort Wayne International Airport,40.97850037,-85.19509888,814.0,,US,US-IN,Fort Wayne,yes,KFWA,FWA,FWA,https://fwairport.com/,https://en.wikipedia.org/wiki/Fort_Wayne_International_Airport,Baer Field
30493,3552,KGEG,large_airport,Spokane International Airport,47.61989974975586,-117.53399658203124,2376.0,,US,US-WA,Spokane,yes,KGEG,GEG,GEG,,https://en.wikipedia.org/wiki/Spokane_International_Airport,
30540,3561,KGPT,large_airport,Gulfport Biloxi International Airport,30.40730094909668,-89.07009887695312,28.0,,US,US-MS,Gulfport,yes,KGPT,GPT,GPT,,https://en.wikipedia.org/wiki/Gulfport-Biloxi_International_Airport,
30543,3562,KGRB,large_airport,Austin Straubel International Airport,44.48509979248047,-88.12960052490234,695.0,,US,US-WI,Green Bay,yes,KGRB,GRB,GRB,,https://en.wikipedia.org/wiki/Austin_Straubel_International_Airport,
30552,3567,KGSB,large_airport,Seymour Johnson Air Force Base,35.33940125,-77.96060181,109.0,,US,US-NC,Goldsboro,no,KGSB,GSB,GSB,http://www.seymourjohnson.af.mil/,https://en.wikipedia.org/wiki/Seymour_Johnson_Air_Force_Base,
30554,3568,KGSO,large_airport,Piedmont Triad International Airport,36.097801208496094,-79.93730163574219,925.0,,US,US-NC,Greensboro,yes,KGSO,GSO,GSO,,https://en.wikipedia.org/wiki/Piedmont_Triad_International_Airport,
30555,3569,KGSP,large_airport,Greenville Spartanburg International Airport,34.895698547399995,-82.2189025879,964.0,,US,US-SC,Greenville,yes,KGSP,GSP,GSP,,https://en.wikipedia.org/wiki/Greenville-Spartanburg_International_Airport,
30565,3573,KGUS,large_airport,Grissom Air Reserve Base,40.648101806599996,-86.15209960940001,812.0,,US,US-IN,Peru,no,KGUS,GUS,GUS,http://www.grissom.afrc.af.mil/,https://en.wikipedia.org/wiki/Grissom_Air_Reserve_Base,
30644,3579,KHIB,large_airport,Range Regional Airport,47.38660049,-92.83899689,1354.0,,US,US-MN,Hibbing,yes,KHIB,HIB,HIB,,https://en.wikipedia.org/wiki/Range_Regional_Airport,Chisholm Hibbing Airport
30664,3584,KHMN,large_airport,Holloman Air Force Base,32.8525009155,-106.107002258,4093.0,,US,US-NM,Alamogordo,no,KHMN,HMN,HMN,http://www.holloman.af.mil/,https://en.wikipedia.org/wiki/Holloman_Air_Force_Base,Alamogordo AAF
30678,3588,KHOU,large_airport,William P Hobby Airport,29.64539909,-95.27890015,46.0,,US,US-TX,Houston,yes,KHOU,HOU,HOU,http://www.fly2houston.com/hobbyHome,https://en.wikipedia.org/wiki/William_P._Hobby_Airport,QHO
30702,3594,KHSV,large_airport,Huntsville International Carl T Jones Field,34.637199401855,-86.775100708008,629.0,,US,US-AL,Huntsville,yes,KHSV,HSV,HSV,http://www.flyhuntsville.com/portal/#.VbaG-_lVhBc,https://en.wikipedia.org/wiki/Huntsville_International_Airport,
30706,3595,KHTS,large_airport,Tri-State/Milton J. Ferguson Field,38.36669922,-82.55799866,828.0,,US,US-WV,Huntington,yes,KHTS,HTS,HTS,,https://en.wikipedia.org/wiki/Tri-State_Airport,
30772,3602,KIAD,large_airport,Washington Dulles International Airport,38.9445,-77.455803,312.0,,US,US-VA,"Washington, DC",yes,KIAD,IAD,IAD,http://www.mwaa.com/dulles/,https://en.wikipedia.org/wiki/Washington_Dulles_International_Airport,WAS
30774,3604,KIAH,large_airport,George Bush Intercontinental Houston Airport,29.98439979553223,-95.34140014648438,97.0,,US,US-TX,Houston,yes,KIAH,IAH,IAH,http://www.fly2houston.com/iah,https://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport,QHO
30779,3605,KICT,large_airport,Wichita Eisenhower National Airport,37.649899,-97.433098,1333.0,,US,US-KS,Wichita,yes,KICT,ICT,ICT,,https://en.wikipedia.org/wiki/Wichita_Dwight_D._Eisenhower_National_Airport,
30809,3610,KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,797.0,,US,US-IN,Indianapolis,yes,KIND,IND,IND,http://www.indianapolisairport.com/,https://en.wikipedia.org/wiki/Indianapolis_International_Airport,
30847,3619,KJAN,large_airport,Jackson-Medgar Wiley Evers International Airport,32.3111991882,-90.0758972168,346.0,,US,US-MS,Jackson,yes,KJAN,JAN,JAN,,https://en.wikipedia.org/wiki/Jackson-Evers_International_Airport,
30850,3620,KJAX,large_airport,Jacksonville International Airport,30.49410057067871,-81.68789672851562,30.0,,US,US-FL,Jacksonville,yes,KJAX,JAX,JAX,,https://en.wikipedia.org/wiki/Jacksonville_International_Airport,
30858,3622,KJFK,large_airport,John F Kennedy International Airport,40.639801,-73.7789,13.0,,US,US-NY,New York,yes,KJFK,JFK,JFK,https://www.jfkairport.com/,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport,"Manhattan, New York City, NYC, Idlewild"
30866,3623,KJLN,large_airport,Joplin Regional Airport,37.151798248291016,-94.49829864501952,981.0,,US,US-MO,Joplin,yes,KJLN,JLN,JLN,,https://en.wikipedia.org/wiki/Joplin_Regional_Airport,
30971,3631,KLAS,large_airport,McCarran International Airport,36.08010101,-115.15200039999999,2181.0,,US,US-NV,Las Vegas,yes,KLAS,LAS,LAS,http://www.mccarran.com/,https://en.wikipedia.org/wiki/McCarran_International_Airport,
30973,3632,KLAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,125.0,,US,US-CA,Los Angeles,yes,KLAX,LAX,LAX,https://www.flylax.com/,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,
30974,3633,KLBB,large_airport,Lubbock Preston Smith International Airport,33.663601,-101.822998,3282.0,,US,US-TX,Lubbock,yes,KLBB,LBB,LBB,http://www.flylia.com/,https://en.wikipedia.org/wiki/Lubbock_Preston_Smith_International_Airport,
30985,3638,KLCK,large_airport,Rickenbacker International Airport,39.813801,-82.927803,744.0,,US,US-OH,Columbus,yes,KLCK,LCK,LCK,http://rickenbackerinlandport.com/en/rickenbacker-international-airport/,https://en.wikipedia.org/wiki/Rickenbacker_International_Airport,Lockbourne Army Air Field
30993,3640,KLEX,large_airport,Blue Grass Airport,38.0364990234375,-84.60590362548828,979.0,,US,US-KY,Lexington,yes,KLEX,LEX,LEX,http://www.bluegrassairport.com/,https://en.wikipedia.org/wiki/Blue_Grass_Airport,
30994,3641,KLFI,large_airport,Langley Air Force Base,37.082901000999996,-76.360496521,11.0,,US,US-VA,Hampton,no,KLFI,LFI,LFI,http://www.langleyafb.us/,https://en.wikipedia.org/wiki/Langley_Field,Langley Field
30996,3642,KLFT,large_airport,Lafayette Regional Airport,30.20529938,-91.98760223,42.0,,US,US-LA,Lafayette,yes,KLFT,LFT,LFT,http://www.lftairport.com/Home,https://en.wikipedia.org/wiki/Lafayette_Regional_Airport,
30997,3643,KLGA,large_airport,La Guardia Airport,40.777198999999996,-73.872597,21.0,,US,US-NY,New York,yes,KLGA,LGA,LGA,https://www.laguardiaairport.com/,https://en.wikipedia.org/wiki/LaGuardia_Airport,"Manhattan, New York City, NYC, Glenn H. Curtiss Airport, North Beach Airport, La Guardia"
31012,3645,KLIT,large_airport,Bill & Hillary Clinton National Airport/Adams Field,34.729400634799994,-92.22429656979999,262.0,,US,US-AR,Little Rock,yes,KLIT,LIT,LIT,,https://en.wikipedia.org/wiki/Little_Rock_National_Airport,
31059,3657,KLTS,large_airport,Altus Air Force Base,34.667098999000004,-99.26670074459999,1382.0,,US,US-OK,Altus,no,KLTS,LTS,LTS,http://www.altus.af.mil/,https://en.wikipedia.org/wiki/Altus_Air_Force_Base,
31062,3658,KLUF,large_airport,Luke Air Force Base,33.534999847399995,-112.383003235,1085.0,,US,US-AZ,Glendale,no,KLUF,LUF,LUF,http://www.luke.af.mil/,https://en.wikipedia.org/wiki/Luke_Air_Force_Base,
31168,3664,KMBS,large_airport,MBS International Airport,43.532901763916016,-84.07959747314453,668.0,,US,US-MI,Saginaw,yes,KMBS,MBS,MBS,http://www.mbsairport.org/,https://en.wikipedia.org/wiki/MBS_International_Airport,"Tri City Airport, Midland, Bay City"
31175,3667,KMCF,large_airport,Mac Dill Air Force Base,27.84930038,-82.52120209,14.0,,US,US-FL,Tampa,no,KMCF,MCF,MCF,http://www.macdill.af.mil/,https://en.wikipedia.org/wiki/MacDill_Air_Force_Base,"Southeast Air Base - Tampa, MacDill Field"
31176,3668,KMCI,large_airport,Kansas City International Airport,39.2976,-94.713898,1026.0,,US,US-MO,Kansas City,yes,KMCI,MCI,MCI,http://www.flykci.com/,https://en.wikipedia.org/wiki/Kansas_City_International_Airport,
31179,3670,KMCO,large_airport,Orlando International Airport,28.429399490356445,-81.30899810791016,96.0,,US,US-FL,Orlando,yes,KMCO,MCO,MCO,http://www.orlandoairports.net/,https://en.wikipedia.org/wiki/Orlando_International_Airport,"Disney World,Epcot Center"
31190,3673,KMDW,large_airport,Chicago Midway International Airport,41.785999,-87.752403,620.0,,US,US-IL,Chicago,yes,KMDW,MDW,MDW,https://www.flychicago.com/midway/home/pages/default.aspx,https://en.wikipedia.org/wiki/Midway_International_Airport,CHI
31195,3675,KMEM,large_airport,Memphis International Airport,35.04240036010742,-89.97669982910156,341.0,,US,US-TN,Memphis,yes,KMEM,MEM,MEM,,https://en.wikipedia.org/wiki/Memphis_International_Airport,
31207,3680,KMGE,large_airport,Dobbins Air Reserve Base,33.91540146,-84.51629639,1068.0,,US,US-GA,Marietta,no,KMGE,MGE,MGE,http://www.dobbins.afrc.af.mil/,https://en.wikipedia.org/wiki/Dobbins_Air_Reserve_Base,"Rickenbacker Field, Marietta AAF, Marietta AFB, Dobbins AFB"
31210,3681,KMGM,large_airport,Montgomery Regional (Dannelly Field) Airport,32.30059814,-86.39399719,221.0,,US,US-AL,Montgomery,yes,KMGM,MGM,MGM,http://www.flymgm.com/,https://en.wikipedia.org/wiki/Montgomery_Regional_Airport,
31220,3684,KMHT,large_airport,Manchester-Boston Regional Airport,42.932598,-71.435699,266.0,,US,US-NH,Manchester,yes,KMHT,MHT,MHT,,https://en.wikipedia.org/wiki/Manchester-Boston_Regional_Airport,
31222,3685,KMIA,large_airport,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,yes,KMIA,MIA,MIA,http://www.miami-airport.com/,https://en.wikipedia.org/wiki/Miami_International_Airport,"MFW, South Florida"
31235,3690,KMKE,large_airport,General Mitchell International Airport,42.94720077514648,-87.89659881591797,723.0,,US,US-WI,Milwaukee,yes,KMKE,MKE,MKE,,https://en.wikipedia.org/wiki/General_Mitchell_International_Airport,
31250,3695,KMLI,large_airport,Quad City International Airport,41.44850158691406,-90.50749969482422,590.0,,US,US-IL,Moline,yes,KMLI,MLI,MLI,,https://en.wikipedia.org/wiki/Quad_City_International_Airport,
31255,3697,KMLU,large_airport,Monroe Regional Airport,32.51089859008789,-92.0376968383789,79.0,,US,US-LA,Monroe,yes,KMLU,MLU,MLU,,https://en.wikipedia.org/wiki/Monroe_Regional_Airport,
31276,3700,KMOB,large_airport,Mobile Regional Airport,30.691200256348,-88.242797851562,219.0,,US,US-AL,Mobile,yes,KMOB,MOB,MOB,http://www.mobairport.com/,https://en.wikipedia.org/wiki/Mobile_Regional_Airport,
31307,3707,KMSN,large_airport,Dane County Regional Truax Field,43.13990020751953,-89.3375015258789,887.0,,US,US-WI,Madison,yes,KMSN,MSN,MSN,,https://en.wikipedia.org/wiki/Dane_County_Regional_Airport,
31309,3709,KMSP,large_airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.882,-93.221802,841.0,,US,US-MN,Minneapolis,yes,KMSP,MSP,MSP,http://www.mspairport.com/,https://en.wikipedia.org/wiki/Minneapolis–Saint_Paul_International_Airport,
31312,3711,KMSY,large_airport,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,4.0,,US,US-LA,New Orleans,yes,KMSY,MSY,MSY,,https://en.wikipedia.org/wiki/Louis_Armstrong_New_Orleans_International_Airport,
31325,3715,KMUO,large_airport,Mountain Home Air Force Base,43.043597999999996,-115.872002,2996.0,,US,US-ID,Mountain Home,no,KMUO,MUO,MUO,http://www.mountainhome.af.mil/,https://en.wikipedia.org/wiki/Mountain_Home_Air_Force_Base,
31501,3744,KOAK,large_airport,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,yes,KOAK,OAK,OAK,http://www.oaklandairport.com/,https://en.wikipedia.org/wiki/Oakland_International_Airport,"QSF, QBA"
31529,3747,KOKC,large_airport,Will Rogers World Airport,35.39310073852539,-97.60070037841795,1295.0,,US,US-OK,Oklahoma City,yes,KOKC,OKC,OKC,,https://en.wikipedia.org/wiki/Will_Rogers_World_Airport,
31548,3751,KOMA,large_airport,Eppley Airfield,41.3032,-95.89409599999999,984.0,,US,US-NE,Omaha,yes,KOMA,OMA,OMA,,https://en.wikipedia.org/wiki/Eppley_Airfield,
31557,3752,KONT,large_airport,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,yes,KONT,ONT,ONT,,https://en.wikipedia.org/wiki/LA/Ontario_International_Airport,
31571,3754,KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,yes,KORD,ORD,ORD,https://www.flychicago.com/ohare/home/pages/default.aspx,https://en.wikipedia.org/wiki/O'Hare_International_Airport,"CHI, Orchard Place"
31573,3755,KORF,large_airport,Norfolk International Airport,36.89459991455078,-76.20120239257812,26.0,,US,US-VA,Norfolk,yes,KORF,ORF,ORF,,https://en.wikipedia.org/wiki/Norfolk_International_Airport,
31716,3765,KPAM,large_airport,Tyndall Air Force Base,30.0695991516,-85.57540130619998,17.0,,US,US-FL,Panama City,no,KPAM,PAM,PAM,http://www.tyndall.af.mil/,https://en.wikipedia.org/wiki/Tyndall_Air_Force_Base,
31723,3766,KPBI,large_airport,Palm Beach International Airport,26.68320083618164,-80.09559631347656,19.0,,US,US-FL,West Palm Beach,yes,KPBI,PBI,PBI,,https://en.wikipedia.org/wiki/Palm_Beach_International_Airport,"MFW, South Florida"
31733,3768,KPDX,large_airport,Portland International Airport,45.58869934,-122.59799960000001,31.0,,US,US-OR,Portland,yes,KPDX,PDX,PDX,,https://en.wikipedia.org/wiki/Portland_International_Airport,
31747,3770,KPHF,large_airport,Newport News Williamsburg International Airport,37.13190079,-76.49299622,42.0,,US,US-VA,Newport News,yes,KPHF,PHF,PHF,,https://en.wikipedia.org/wiki/Newport_News/Williamsburg_International_Airport,
31751,3771,KPHL,large_airport,Philadelphia International Airport,39.87189865112305,-75.24109649658203,36.0,,US,US-PA,Philadelphia,yes,KPHL,PHL,PHL,http://www.phl.org/,https://en.wikipedia.org/wiki/Philadelphia_International_Airport,
31755,3772,KPHX,large_airport,Phoenix Sky Harbor International Airport,33.43429946899414,-112.01200103759766,1135.0,,US,US-AZ,Phoenix,yes,KPHX,PHX,PHX,http://phoenix.gov/skyharborairport/,https://en.wikipedia.org/wiki/Phoenix_Sky_Harbor_International_Airport,
31756,3773,KPIA,large_airport,General Wayne A. Downing Peoria International Airport,40.664199829100006,-89.6932983398,660.0,,US,US-IL,Peoria,yes,KPIA,PIA,PIA,,https://en.wikipedia.org/wiki/General_Wayne_A._Downing_Peoria_International_Airport,Peoria International Airport
31763,3778,KPIT,large_airport,Pittsburgh International Airport,40.49150085,-80.23290253,1203.0,,US,US-PA,Pittsburgh,yes,KPIT,PIT,PIT,,https://en.wikipedia.org/wiki/Pittsburgh_International_Airport,
